P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P07629103T0000|0 48|CCAAT/enhancer-binding protein isoforms beta and delta
P08625900T0000|0 46|Pituitary adenylate cyclase-activating polypeptide
P07897696A0000|0 45|Erythrocyte delta-aminolevulinic acid dehydratase
P01542565T0000|0 44|Nuclear-encoded chloroplast ribosomal protein L12
P10559303A0000|0 43|Epstein-Barr virus (EBV) latent membrane protein 1
P09013760A0000|0 42|Cholesterol side-chain cleavage cytochrome P450
P01448932T0000|0 41|Rice dwarf phytoreovirus segment S12 transcript
P10687855T0000|0 41|Mouse growth hormone transcription factor Zn-16
P07693708A0000|0 40|Insulin-like growth factor-binding protein-2
P07476963A0000|0 40|Peroxisome proliferator-activated receptors
P09723896A0000|0 40|Peroxisome proliferator-activated receptors
P09882337A0000|0 39|Varicella-zoster virus (VZV) glycoprotein gI
P08163528T0000|0 38|Mitochondrial Mas70p signal anchor sequence
P11278390A0632|0 35|Reverse transcriptase-polymerase chain
P02223773A0000|0 34|Chick brain actin depolymerizing factor
P10224293A0000|0 34|Receptor protein tyrosine phosphatases
P11422200A0000|0 34|Granulocyte colony-stimulating factor
P07745684T0000|0 33|Human papillomavirus type 31b late gene
P09223475A0898|0 31|Chloramphenicol acetyltransferase
P01158512T0000|0 31|Glucose-6-phosphate dehydrogenase
P09372908A1068|0 31|Polyhomeotic and Posterior Sex Combs
P08882710A0000|0 30|Interferon stimulated gene factor 3
P11689217T0000|0 30|Cholesteryl ester transfer protein
P11029459A0000|0 29|Transforming growth factor-beta1
P01452584T0000|0 29|Pseudomonas aeruginosa exotoxin A
P06684624A0736|0 29|Urinary N-acetylglucosaminidase
P08352268A0000|0 29|Recombinant human erythropoietin
P10585463A0859|0 29|Recombinant prenylcysteine lyase
P11059786T0000|0 28|Epidermal growth factor receptor
P05789870T0001|0 28|Phosphate glucose dehydrogenase
P11264182A0000|0 28|Human T-cell leukemia virus type I
P10747099A0507|0 28|Extracellular-regulated kinase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P01529530T0000|0 27|Interferon-alpha-induced gene
P03928678T0000|0 27|Thyrotropin-releasing hormone
P02474093T0000|0 26|Angiotensin converting enzyme
P07999995A0000|0 26|A receptor-like protein kinase
P08386317T0000|0 26|Nuclear protein phosphatase 2A
P09592125A0000|0 26|Class I alpha1,2-mannosidases
P10375718A0000|0 26|Basic fibroblast growth factor
P08995410A0000|0 26|Eukaryotic initiation factor 3
P11029467T0000|0 26|Vasoactive intestinal peptide
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P08355697A0000|0 26|Protein tyrosine phosphatases
P11145571A0788|0 25|IFN-stimulated gene factor-3
P10488088T0000|0 25|Insulin-like growth factor-I
P10965905T0000|0 25|Insulin receptor substrate-1
P01284828T0001|0 25|Tissue plasminogen activator
P01989999A0000|0 25|Adenylosuccinate synthetase
P07567300T0000|0 25|Staphylococcal enterotoxin A
P09365272T0000|0 25|Xenopus Ran-binding protein 1
P07521601A0000|0 25|Hematopoietic growth factors
P01930660T0000|0 24|Insulin-like growth factor 1
P09047344A0000|0 24|Calmodulin-binding peptide
P09421521T0000|0 24|Holliday junction resolvase
P10066798A0391|0 24|Cyclin D1-associated kinase
P08917449A0000|0 24|Leukemia-inhibitory factor
P10766246A0000|0 24|Integrin adhesion receptors
P08119149A0000|0 24|Tumor necrosis factor-alpha
P07961958T0000|0 24|Rat kidney carboxylesterase
P03014515T0000|0 24|Human alpha-galactosidase A
P09545638A0836|0 24|Recombinant HRMT1L2 protein
P09380507A0514|0 23|Glutathione S-transferase
P07820057A0000|0 23|Tumor necrosis factor alpha
P10232600T0000|0 23|Prostate-specific antigen
P10212284A0000|0 23|Transforming growth factor
P02648646A0216|0 23|Platelet activating factor
P09843577A0000|0 23|Schizosaccharomyces pombe
P10322022A0263|0 23|Rep63A (513 amino acids [aa]
P10811804A0000|0 23|Mitogen-activated protein
P00780639X0000|0 22|Carcinoembryonic antigen
P11356835A0000|0 22|Saccharomyces cerevisiae
P07688112A0274|0 22|Prostate specific antigen
P10452951A0000|0 22|Nuclear hormone receptors
P08188258A0000|0 22|Glutamyl-tRNA synthetase
P02739739T0000|0 22|COUP transcription factor
P01992953T0000|0 22|Alanine aminotransferase
P01873999A0000|0 22|Saccharomyces cerevisiae
P09360993T0000|0 21|Mouse mast cell protease 9
P01572549A0000|0 21|Protein tyrosine kinases
P09234727A0770|0 20|Gal4-Eed fusion protein
P04518624T0000|0 20|Glutathione peroxidase
P04364369T0000|0 20|Pre-beta-1 lipoprotein
P02572777T0000|0 19|Tumour necrosis factor
P08389453A0193|0 19|Uracil DNA glycosylase
P07752454A0341|0 19|Staphylococcus aureus
P08871635A0000|0 19|B cell antigen receptor
P07693975T0000|0 19|Reverse transcriptase
P11223240A0655|0 19|Drosophila Menin1 gene
P02669199A0000|0 18|Tumor necrosis factor
P06795119T0000|0 18|Lens aldose reductase
P08955159A0000|0 18|Human acid ceramidase
P07841663A0685|0 18|Superoxide dismutase
P02761008X0000|0 18|Brain cholinesterase
P08627354A0000|0 18|Vertebrate synapsins
P09268298T0000|0 18|Ent-kaurene synthase
P09521909A0081|0 18|APETALA3 transcripts
P09712898T0000|0 18|Tumor necrosis factor
P01330077A0000|0 17|T-cell receptor beta
P11027724A0335|0 17|Recombinant BRI1-KD
P09015799T0000|0 17|Serotonin receptors
P08166402A0631|0 17|Cerebral125 albumin
P01437562A0462|0 17|Anti-CRK antibodies
P08887647T0000|0 16|Fission yeast mal2+
P09790771A0956|0 16|Gng3lg transcripts
P07929559A0000|0 16|Cytoplasmic dynein
P07811639A0222|0 16|Endo16 transcripts
P11158236A0000|0 16|Nerve growth factor
P06718064T0001|0 16|Plasma lactoferrin
P02566613T0000|0 15|Somatostatin gene
P10323463T0000a|0 15|Interferon-alpha
P09819038A0448|0 15|Recombinant FVIIa
P01316903A1040|0 15|RNA polymerase IIA
P08226794A0501|0 15|[Ala85]Dk(69-85)
P10329574A1733|0 15|O. novo-ulmi RNA-7
P08929563T0000|0 15|Rat liver catalase
P10323463T0000b|0 15|Interferon-alpha
P00818380A0239|0 15|Rheumatoid factor
P01310935T0000|0 14|Drosophila UbcD1
