P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P09028942A0000|0 50|Human granulocyte-macrophage colony-stimulating factor
P07897696A0000|0 45|Erythrocyte delta-aminolevulinic acid dehydratase
P08631958T0000|0 44|Human cytomegalovirus immediate-early protein IE2
P08072547A0690|0 43|Ras- and ultra-violet-responsive protein kinases
P09013760A0000|0 42|Cholesterol side-chain cleavage cytochrome P450
P01448932T0000|0 41|Rice dwarf phytoreovirus segment S12 transcript
P10687855T0000|0 41|Mouse growth hormone transcription factor Zn-16
P10938102T0000|0 39|Eukaryotic translation initiation factor 4GI
P09275159T0000|0 38|Heterogeneous nuclear ribonucleoprotein A1
P07711730A0000|0 35|Carnitine palmitoyltransferase (CPT) II
P09701616A0108|0 35|Reverse transcriptase-polymerase chain
P02142921T0000|0 34|Luteinizing hormone-releasing hormone
P07494303A0000|0 33|Human immunodeficiency virus type 1 Vpr
P10551879T0000|0 31|Cyclic AMP-dependent protein kinase
P11689217T0000|0 30|Cholesteryl ester transfer protein
P10585463A0859|0 29|Recombinant prenylcysteine lyase
P08352268A0000|0 29|Recombinant human erythropoietin
P06684624A0736|0 29|Urinary N-acetylglucosaminidase
P09784245T0000|0 28|Cardiac myosin-binding protein C
P11264182A0000|0 28|Human T-cell leukemia virus type I
P11435428A0000|0 28|Cytosolic acetyl-CoA synthetase
P00027739T0000|0 28|Serum gamma glutamyltransferase
P03928678T0000|0 27|Thyrotropin-releasing hormone
P01529530T0000|0 27|Interferon-alpha-induced gene
P01934378A1219|0 27|Skeletal muscle metaboreceptor
P02176822A0000|0 27|Multifunctional protein kinase
P09592125A0000|0 26|Class I alpha1,2-mannosidases
P02474093T0000|0 26|Angiotensin converting enzyme
P08995410A0000|0 26|Eukaryotic initiation factor 3
P01989999A0000|0 25|Adenylosuccinate synthetase
P07567300T0000|0 25|Staphylococcal enterotoxin A
P07521601A0000|0 25|Hematopoietic growth factors
P09365272T0000|0 25|Xenopus Ran-binding protein 1
P01284828T0001|0 25|Tissue plasminogen activator
P09545638A0836|0 24|Recombinant HRMT1L2 protein
P07961958T0000|0 24|Rat kidney carboxylesterase
P08119149A0000|0 24|Tumor necrosis factor-alpha
P10766246A0000|0 24|Integrin adhesion receptors
P01748287T0000|0 23|Human SRF-related proteins
P02648646A0216|0 23|Platelet activating factor
P07508140A0448|0 23|Hepatitis B surface antigen
P07820057A0000|0 23|Tumor necrosis factor alpha
P10212284A0000|0 23|Transforming growth factor
P10196318T0000|0 23|CCAAT displacement protein
P09380507A0514|0 23|Glutathione S-transferase
P00780639X0000|0 22|Carcinoembryonic antigen
P08188258A0000|0 22|Glutamyl-tRNA synthetase
P01992953T0000|0 22|Alanine aminotransferase
P01873999A0000|0 22|Saccharomyces cerevisiae
P01694525A0000|0 22|Isopenicillin N isomerase
P07557276A0526|0 22|Alanine aminotransferase
P02739739T0000|0 22|COUP transcription factor
P11356835A0000|0 22|Saccharomyces cerevisiae
P10452951A0000|0 22|Nuclear hormone receptors
P01727488A1146|0 21|PRDII-BF1-derived cDNAs
P07112320A0086|0 20|CSF adenosine deaminase
P04364369T0000|0 20|Pre-beta-1 lipoprotein
P02209811T0000|0 20|Horseradish peroxidase
P04518624T0000|0 20|Glutathione peroxidase
P07752454A0341|0 19|Staphylococcus aureus
P09312025T0000|0 19|Protein phosphatase 2A
P09670943T0000|0 19|B cell antigen receptor
P08395654T0000|0 19|Steroidogenic factor 1
P08871635A0000|0 19|B cell antigen receptor
P08389453A0193|0 19|Uracil DNA glycosylase
P02572777T0000|0 19|Tumour necrosis factor
P02669199A0000|0 18|Tumor necrosis factor
P08955159A0000|0 18|Human acid ceramidase
P07841663A0685|0 18|Superoxide dismutase
P09363759A0000|0 18|Protein phosphatases
P09268298T0000|0 18|Ent-kaurene synthase
P09712898T0000|0 18|Tumor necrosis factor
P09521909A0081|0 18|APETALA3 transcripts
P10393192A0792|0 18|Neurospora crassa CYT
P06795119T0000|0 18|Lens aldose reductase
P01437562A0462|0 17|Anti-CRK antibodies
P09751061A0000|0 17|POU-domain proteins
P09015799T0000|0 17|Serotonin receptors
P01083375T0000|0 17|Alpha-1 antitrypsin
P11027724A0335|0 17|Recombinant BRI1-KD
P08166402A0631|0 17|Cerebral125 albumin
P09622121A0525|0 17|Anti-PTB antibodies
P01822995T0000|0 16|Maize rbcS promoter
P07811639A0222|0 16|Endo16 transcripts
P11158236A0000|0 16|Nerve growth factor
P01918010A0000|0 16|Lipoprotein lipase
P02196565T0000|0 16|Yeast Gal11 protein
P11207269A0745|0 16|Anti-nucleolin mAb
P07929559A0000|0 16|Cytoplasmic dynein
P07891713T0000|0 15|Small Maf proteins
P10205176A0000|0 15|Nuclear receptors
P09884275T0000|0 15|Interferon-alpha
P01316903A1040|0 15|RNA polymerase IIA
P00818380A0239|0 15|Rheumatoid factor
P10323463T0000a|0 15|Interferon-alpha
P09819038A0448|0 15|Recombinant FVIIa
P00239169T0000|0 15|Dopamine receptor
P10323463T0000b|0 15|Interferon-alpha
P08929563T0000|0 15|Rat liver catalase
P08887647T0000|0 15|Fission yeast mal2
P01441818T0001|0 14|Interferon type I
P10897973T0001|0 14|Antithrombin III
P11063169T0000|0 14|Botulinum toxin A
